ID,City,Municipality,Neighborhood,Area,Rooms,Current_Floor,Total_Floors,Advertiser_Type,Photo_Count,Total_Price_EUR,Scrape_Date
5425646984993,Beograd,Savski venac,Beograd na vodi,57.0,2.0 Broj soba,XX,23 Spratnost,Vlasnik,15,325000.0,2026-04-05 22:49:34
5425646793543,Beograd,Voždovac,Kumodraška,75.0,3.0 Broj soba,II,4 Spratnost,Vlasnik,11,220000.0,2026-04-05 22:49:34
5425646921552,Beograd,Palilula,Višnjička Banja,67.0,3.0 Broj soba,VPR,5 Spratnost,Agencija,20,219000.0,2026-04-05 22:49:34
5425646752006,Beograd,Vračar,Svetozara Markovića,96.0,4.0 Broj soba,V,7 Spratnost,Agencija,15,399000.0,2026-04-05 22:49:34
5425646991855,Beograd,Savski venac,Beograd na vodi,85.0,3.0 Broj soba,V,8 Spratnost,Agencija,17,379000.0,2026-04-05 22:49:34
5425646724702,Beograd,Savski venac,Dedinje,132.0,4.0 Broj soba,II,3 Spratnost,Vlasnik,19,520000.0,2026-04-05 22:49:34
5425646991551,Beograd,Vračar,Kalenić pijaca,50.0,2.0 Broj soba,II,4 Spratnost,Vlasnik,17,299000.0,2026-04-05 22:49:34
5425646989212,Beograd,Zvezdara,Mirijevo,53.47,2.5 Broj soba,,,Vlasnik,3,128328.0,2026-04-05 22:49:34
5425646991647,Beograd,Zvezdara,Mirijevo,31.29,1.0 Broj soba,,,Vlasnik,3,75096.0,2026-04-05 22:49:34
5425646991646,Beograd,Zvezdara,Mirijevo,37.38,1.5 Broj soba,,,Vlasnik,3,89712.0,2026-04-05 22:49:34
5425646989208,Beograd,Zvezdara,Đeram pijaca,22.0,0.5 Broj soba,VPR,5 Spratnost,Vlasnik,17,98000.0,2026-04-05 22:49:34
5425646989207,Beograd,Zvezdara,Mirijevo,39.81,1.5 Broj soba,,,Vlasnik,3,95544.0,2026-04-05 22:49:34
5425646989010,Beograd,Zvezdara,Mirijevo,39.7,1.5 Broj soba,,,Vlasnik,3,95280.0,2026-04-05 22:49:34
5425646990980,Beograd,Zvezdara,Mirijevo,38.84,1.5 Broj soba,,,Vlasnik,3,93216.0,2026-04-05 22:49:34
5425646199152,Beograd,Čukarica,Bele vode,87.0,4.0 Broj soba,VPR,3 Spratnost,Investitor,7,221850.0,2026-04-05 22:49:34
5425646439034,Beograd,Zvezdara,Bulevar kralja Aleksandra,54.0,3.0 Broj soba,VI,13 Spratnost,Agencija,9,159000.0,2026-04-05 22:49:34
5425645988522,Beograd,Novi Beograd,Stari Merkator,61.4,2.0 Broj soba,VI,9 Spratnost,Agencija,12,219500.0,2026-04-05 22:49:34
5425646991352,Beograd,Voždovac,Naselje Stepa Stepanović,51.0,2.0 Broj soba,IV,6 Spratnost,Vlasnik,20,196000.0,2026-04-05 22:49:34
5425646922617,Beograd,Stari grad,Dorćol,104.0,4.0 Broj soba,PR,6 Spratnost,Agencija,7,289900.0,2026-04-05 22:49:34
5425646922290,Beograd,Vračar,Krunski venac,56.0,2.5 Broj soba,I,6 Spratnost,Agencija,6,244999.0,2026-04-05 22:49:34
5425646790616,Beograd,Zvezdara,Kluz,65.0,3.5 Broj soba,I,4 Spratnost,Agencija,5,202364.0,2026-04-05 22:49:34
5425646790611,Beograd,Zvezdara,Kluz,34.93,1.5 Broj soba,I,4 Spratnost,Agencija,5,109506.0,2026-04-05 22:49:34
5425646790613,Beograd,Zvezdara,Kluz,56.0,2.5 Broj soba,II,4 Spratnost,Agencija,5,174996.0,2026-04-05 22:49:34
5425646790614,Beograd,Zvezdara,Kluz,38.0,1.5 Broj soba,IV,4 Spratnost,Agencija,5,117625.0,2026-04-05 22:49:34
5425646783746,Beograd,Palilula,Borča,32.0,1.0 Broj soba,III,5 Spratnost,Agencija,9,66295.0,2026-04-05 22:49:34
5425646783775,Beograd,Palilula,Borča,46.0,2.0 Broj soba,II,5 Spratnost,Agencija,9,91832.0,2026-04-05 22:49:34
5425646783777,Beograd,Palilula,Borča,42.0,2.0 Broj soba,II,5 Spratnost,Agencija,9,83477.0,2026-04-05 22:49:34
5425646783778,Beograd,Palilula,Borča,56.0,3.0 Broj soba,I,5 Spratnost,Agencija,9,110563.0,2026-04-05 22:49:34
5425646672395,Beograd,Zvezdara,Bulbulder,86.0,3.5 Broj soba,IV,7 Spratnost,Investitor,11,258000.0,2026-04-05 22:49:34
5425645468066,Beograd,Zvezdara,Bulbulder,56.09,2.0 Broj soba,V,7 Spratnost,Investitor,13,128000.0,2026-04-05 22:49:34
5425646826618,Beograd,Vračar,Kalenić pijaca,100.0,4.0 Broj soba,VPR,2 Spratnost,Agencija,20,448000.0,2026-04-05 22:49:34
5425646854487,Beograd,Voždovac,Lekino brdo,47.93,2.0 Broj soba,II,4 Spratnost,Investitor,4,174945.0,2026-04-05 22:49:34
5425646817559,Beograd,Voždovac,Lekino brdo,63.0,2.0 Broj soba,IV,4 Spratnost,Vlasnik,18,185000.0,2026-04-05 22:49:34
5425646985758,Beograd,Novi Beograd,Hotel Jugoslavija,80.0,2.5 Broj soba,V Spratnost,,Agencija,20,279000.0,2026-04-05 22:49:34
5425646589670,Beograd,Palilula,Cvijićeva,45.0,2.0 Broj soba,V,5 Spratnost,Vlasnik,15,212000.0,2026-04-05 22:49:34
5425646987113,Beograd,Voždovac,Lekino brdo,65.98,2.0 Broj soba,PR,4 Spratnost,Investitor,4,209948.0,2026-04-05 22:49:34
5425646986902,Beograd,Palilula,Karaburma,28.0,0.5 Broj soba,IV,4 Spratnost,Agencija,14,92000.0,2026-04-05 22:49:34
5425646981948,Beograd,Čukarica,Cerak,50.0,2.0 Broj soba,VPR,2 Spratnost,Agencija,22,150000.0,2026-04-05 22:49:34
5425645932973,Beograd,Stari grad,Centar,57.0,3.0 Broj soba,I,3 Spratnost,Vlasnik,11,258000.0,2026-04-05 22:49:34
5425646986898,Beograd,Zvezdara,Dimitrija Tucovića,102.0,4.0 Broj soba,VII,13 Spratnost,Agencija,12,280000.0,2026-04-05 22:49:34
5425646952501,Beograd,Zvezdara,Cvetkova pijaca,48.0,2.0 Broj soba,II,5 Spratnost,Agencija,2,153600.0,2026-04-05 22:49:34
5425646857601,Beograd,Stari grad,Dorćol,76.0,3.0 Broj soba,VPR,6 Spratnost,Agencija,12,284000.0,2026-04-05 22:49:34
5425645392702,Beograd,Stari grad,Dorćol,120.0,5.0 Broj soba,VIII Spratnost,,Agencija,16,408000.0,2026-04-05 22:49:34
5425646843513,Beograd,Novi Beograd,Blok 45 (TC Enjub),90.0,3.0 Broj soba,XII,13 Spratnost,Agencija,14,255000.0,2026-04-05 22:49:34
5425645231723,Beograd,Čukarica,Julino brdo,89.0,4.0 Broj soba,V,5 Spratnost,Investitor,1,244750.0,2026-04-05 22:49:34
5425645720126,Beograd,Zvezdara,Veliki Mokri Lug,65.57,3.0 Broj soba,I,3 Spratnost,Investitor,7,150811.0,2026-04-05 22:49:34
5425646329122,Beograd,Zvezdara,Mirijevo,50.0,2.0 Broj soba,III,4 Spratnost,Agencija,9,129000.0,2026-04-05 22:49:34
5425646744839,Beograd,Rakovica,Vidikovac,90.0,3.5 Broj soba,VI,12 Spratnost,Agencija,20,230000.0,2026-04-05 22:49:34
5425646701336,Beograd,Rakovica,Vidikovac,94.0,3.5 Broj soba,VPR,16 Spratnost,Agencija,19,215000.0,2026-04-05 22:49:34
5425646683145,Beograd,Čukarica,Cerak,50.0,1.5 Broj soba,IV,4 Spratnost,Agencija,12,129000.0,2026-04-05 22:49:34
5425646984053,Beograd,Palilula,Višnjička Banja,67.0,3.0 Broj soba,VPR,5 Spratnost,Agencija,15,219000.0,2026-04-05 22:49:34
5425646986308,Beograd,Vračar,Crveni krst,66.0,3.0 Broj soba,I,4 Spratnost,Agencija,14,300000.0,2026-04-05 22:49:34
5425644734027,Beograd,Čukarica,Žarkovo,92.0,4.0 Broj soba,IV,4 Spratnost,Investitor,3,212000.0,2026-04-05 22:49:34
5425644742691,Beograd,Čukarica,Žarkovo,56.0,2.5 Broj soba,VPR,4 Spratnost,Investitor,8,141000.0,2026-04-05 22:49:34
5425646979954,Beograd,Novi Beograd,Blok 8a,63.0,3.0 Broj soba,XVII,19 Spratnost,Agencija,21,210000.0,2026-04-05 22:49:34
5425646984027,Beograd,Savski venac,Centar,150.0,5.0 Broj soba,IV,5 Spratnost,Agencija,19,450000.0,2026-04-05 22:49:34
5425646984033,Beograd,Novi Beograd,Blok 23,84.0,3.0 Broj soba,I,21 Spratnost,Agencija,23,275000.0,2026-04-05 22:49:34
5425646984035,Beograd,Voždovac,Saobraćajni fakultet,70.21,3.0 Broj soba,III,6 Spratnost,Agencija,24,269000.0,2026-04-05 22:49:34
5425646782812,Beograd,Savski venac,Beograd na vodi,80.35,3.0 Broj soba,II,15 Spratnost,Agencija,11,375000.0,2026-04-05 22:49:34
5425645748613,Beograd,Vračar,Hram svetog Save,223.0,5+ Broj soba,VIII,8 Spratnost,Agencija,20,1398900.0,2026-04-05 22:49:34
5425646776348,Beograd,Savski venac,Beograd na vodi,111.0,4.0 Broj soba,X,18 Spratnost,Agencija,19,450000.0,2026-04-05 22:49:34
5425646680398,Beograd,Rakovica,Miljakovac,49.0,2.0 Broj soba,PR,2 Spratnost,Agencija,3,107800.0,2026-04-05 22:49:34
5425646877221,Beograd,Zvezdara,Mirijevo,40.61,1.5 Broj soba,IV,4 Spratnost,Agencija,3,101500.0,2026-04-05 22:49:34
5425646850458,Beograd,Stari grad,Terazije,104.0,4.0 Broj soba,IV,5 Spratnost,Agencija,28,349000.0,2026-04-05 22:49:34
5425646989181,Beograd,Palilula,Cvijićeva,65.24,3.0 Broj soba,III,4 Spratnost,Agencija,5,241388.0,2026-04-05 22:49:34
5425645563981,Beograd,Novi Beograd,Blok 64,106.71,4.0 Broj soba,IV,9 Spratnost,Investitor,6,424919.0,2026-04-05 22:49:34
5425645565129,Beograd,Novi Beograd,Blok 64,47.66,1.5 Broj soba,VIII,9 Spratnost,Investitor,6,204986.0,2026-04-05 22:49:34
5425646988981,Beograd,Palilula,Botanička bašta,50.0,2.0 Broj soba,VI,15 Spratnost,Vlasnik,13,200000.0,2026-04-05 22:49:34
5425646855671,Beograd,Vračar,Beogradska,120.0,3.0 Broj soba,I,7 Spratnost,Agencija,20,650000.0,2026-04-05 22:49:34
5425646061748,Beograd,Zemun,Tošin bunar,145.0,4.0 Broj soba,VI,6 Spratnost,Agencija,15,430000.0,2026-04-05 22:49:34
5425646891052,Beograd,Surčin,Jakovo,41.0,2.0 Broj soba,I,1 Spratnost,Vlasnik,17,77900.0,2026-04-05 22:49:34
5425646652132,Beograd,Novi Beograd,Blok 67a (A blok),64.0,3.0 Broj soba,V,10 Spratnost,Agencija,19,299000.0,2026-04-05 22:49:34
5425646990944,Beograd,Novi Beograd,Blok 22,75.0,3.0 Broj soba,II,6 Spratnost,Agencija,9,300000.0,2026-04-05 22:49:34
5425646928218,Beograd,Palilula,Višnjička Banja,67.0,2.5 Broj soba,VPR,5 Spratnost,Agencija,16,205000.0,2026-04-05 22:49:34
5425646469936,Beograd,Novi Beograd,Blok 65,95.0,4.0 Broj soba,I,9 Spratnost,Agencija,16,320636.0,2026-04-05 22:49:34
5425646989862,Beograd,Vračar,Slavija,118.5,3.0 Broj soba,IX,9 Spratnost,Agencija,9,805800.0,2026-04-05 22:49:34
5425646988249,Beograd,Čukarica,Cerak,101.0,4.0 Broj soba,II,5 Spratnost,Agencija,20,271600.0,2026-04-05 22:49:34
5425646899140,Beograd,Voždovac,Ustanička,179.43,5.0 Broj soba,VII,8 Spratnost,Agencija,9,545467.0,2026-04-05 22:49:34
5425646956869,Beograd,Novi Beograd,Blok 67 (Belvil),68.0,2.5 Broj soba,X,10 Spratnost,Agencija,15,275000.0,2026-04-05 22:49:34
5425646063274,Beograd,Zvezdara,Bulevar kralja Aleksandra,43.42,1.5 Broj soba,III,6 Spratnost,Investitor,10,130260.0,2026-04-05 22:49:34
5425646988946,Beograd,Palilula,Karaburma,59.0,2.0 Broj soba,III,5 Spratnost,Vlasnik,10,165000.0,2026-04-05 22:49:34
5425646921671,Beograd,Novi Beograd,Blok 65,62.0,2.0 Broj soba,IV Spratnost,,Agencija,30,360000.0,2026-04-05 22:49:34
5425645929641,Beograd,Stari grad,Dorćol,67.0,3.0 Broj soba,II,3 Spratnost,Vlasnik,18,325000.0,2026-04-05 22:49:34
5425646696384,Beograd,Zvezdara,Lion,106.0,3.5 Broj soba,I,15 Spratnost,Agencija,20,340000.0,2026-04-05 22:49:34
5425646389134,Beograd,Zvezdara,Gradska bolnica,56.0,1.5 Broj soba,VPR,3 Spratnost,Agencija,13,155000.0,2026-04-05 22:49:34
5425646951536,Beograd,Čukarica,Banovo brdo,150.0,3.0 Broj soba,IV,8 Spratnost,Agencija,13,480000.0,2026-04-05 22:49:34
5425646911518,Beograd,Zvezdara,Bulevar kralja Aleksandra,53.0,2.5 Broj soba,V,8 Spratnost,Agencija,20,199900.0,2026-04-05 22:49:34
5425646149083,Beograd,Voždovac,Braće Jerković,47.0,1.0 Broj soba,VPR,6 Spratnost,Agencija,17,119900.0,2026-04-05 22:49:34
5425646674441,Beograd,Novi Beograd,Blok 65,97.0,3.0 Broj soba,XXX Spratnost,,Agencija,7,530000.0,2026-04-05 22:49:34
5425646940053,Beograd,Novi Beograd,Blok 65,55.0,2.0 Broj soba,IV,7 Spratnost,Agencija,12,273900.0,2026-04-05 22:49:34
5425646395141,Beograd,Stari grad,Takovska,65.0,2.5 Broj soba,PR,5 Spratnost,Agencija,12,239000.0,2026-04-05 22:49:34
5425646639284,Beograd,Zemun,Karađorđev trg,69.0,2.0 Broj soba,II,4 Spratnost,Agencija,12,215000.0,2026-04-05 22:49:34
5425646985097,Beograd,Savski venac,Autokomanda,49.0,3.5 Broj soba,II,3 Spratnost,Agencija,8,142990.0,2026-04-05 22:49:34
5425646485638,Beograd,Čukarica,Žarkovo,57.0,2.0 Broj soba,PSUT Spratnost,,Vlasnik,11,108300.0,2026-04-05 22:49:34
5425646984796,Beograd,Savski venac,Autokomanda,49.0,3.5 Broj soba,II,3 Spratnost,Agencija,8,142990.0,2026-04-05 22:49:34
5425646983995,Beograd,Palilula,Karaburma,59.0,2.0 Broj soba,I,3 Spratnost,Agencija,6,175000.0,2026-04-05 22:49:34
5425646983994,Beograd,Voždovac,Banjica,75.0,2.5 Broj soba,VII,20 Spratnost,Agencija,12,230000.0,2026-04-05 22:49:34
5425646915183,Beograd,Zemun,Save Kovačevića,58.0,2.0 Broj soba,III,11 Spratnost,Agencija,10,168000.0,2026-04-05 22:49:34
5425646556057,Beograd,Savski venac,Beograd na vodi,32.44,1.0 Broj soba,III,15 Spratnost,Vlasnik,9,175000.0,2026-04-05 22:49:34
5425646336205,Beograd,Zvezdara,Zvezdarska šuma,44.79,2.0 Broj soba,V,6 Spratnost,Agencija,8,152286.0,2026-04-05 22:49:34
5425643923184,Beograd,Voždovac,Ustanička,77.13,2.5 Broj soba,II,7 Spratnost,Agencija,5,255000.0,2026-04-05 22:49:34
5425646876471,Beograd,Zvezdara,Konjarnik,36.0,1.0 Broj soba,X,12 Spratnost,Agencija,9,135000.0,2026-04-05 22:49:34
5425646948064,Beograd,Voždovac,Lekino brdo,60.0,2.5 Broj soba,VPR,4 Spratnost,Agencija,4,219900.0,2026-04-05 22:49:34
5425646822290,Beograd,Voždovac,Medaković 3,32.5,1.0 Broj soba,VPR,4 Spratnost,Agencija,11,96000.0,2026-04-05 22:49:34
5425646983978,Beograd,Vračar,Kalenić pijaca,75.0,3.0 Broj soba,II,5 Spratnost,Agencija,17,330000.0,2026-04-05 22:49:34
5425646984070,Beograd,Savski venac,Beograd na vodi,95.0,3.0 Broj soba,VI,8 Spratnost,Agencija,20,398888.0,2026-04-05 22:49:34
5425646789632,Beograd,Palilula,Borča,25.0,0.5 Broj soba,PR,3 Spratnost,Vlasnik,9,50000.0,2026-04-05 22:49:34
5425646445438,Beograd,Stari grad,Dorćol,76.0,2.5 Broj soba,V,5 Spratnost,Agencija,13,205000.0,2026-04-05 22:49:34
5425646982701,Beograd,Savski venac,Beograd na vodi,31.97,1.0 Broj soba,X,15 Spratnost,Agencija,11,190000.0,2026-04-05 22:49:34
5425646208868,Beograd,Palilula,Mašinski fakultet,94.0,3.0 Broj soba,VI,6 Spratnost,Agencija,20,295000.0,2026-04-05 22:49:34
5425645676450,Beograd,Voždovac,Banjica,40.0,1.5 Broj soba,PR,5 Spratnost,Agencija,14,164999.0,2026-04-05 22:49:34
5425646982309,Beograd,Čukarica,Banovo brdo,72.0,3.5 Broj soba,IV Spratnost,,Agencija,17,260000.0,2026-04-05 22:49:34
5425646508260,Beograd,Novi Beograd,Blok 66,84.04,3.0 Broj soba,II,9 Spratnost,Vlasnik,16,336160.0,2026-04-05 22:49:34
5425646978444,Beograd,Voždovac,Braće Jerković,65.41,2.5 Broj soba,III,4 Spratnost,Agencija,8,168000.0,2026-04-05 22:49:34
5425646157839,Beograd,Zemun,Marija Bursać,90.0,4.0 Broj soba,I,8 Spratnost,Vlasnik,19,279000.0,2026-04-05 22:49:34
5425646881690,Beograd,Zvezdara,Mirijevo,74.0,3.0 Broj soba,V,9 Spratnost,Agencija,15,193000.0,2026-04-05 22:49:34
5425646908218,Beograd,Palilula,Bogoslovija,93.0,4.0 Broj soba,IV,5 Spratnost,Agencija,13,205000.0,2026-04-05 22:49:34
5425646950945,Beograd,Zvezdara,Kluz,60.21,2.5 Broj soba,PR,4 Spratnost,Agencija,20,169683.0,2026-04-05 22:49:34
5425646982687,Beograd,Voždovac,Bulevar oslobođenja,65.0,3.0 Broj soba,II,4 Spratnost,Agencija,9,260000.0,2026-04-05 22:49:34
5425644982499,Beograd,Zemun,Altina,52.0,2.5 Broj soba,I,3 Spratnost,Investitor,11,97240.0,2026-04-05 22:49:34
5425646980684,Beograd,Palilula,Karaburma,50.0,2.0 Broj soba,IV,5 Spratnost,Agencija,10,125000.0,2026-04-05 22:49:34
5425646980717,Beograd,Palilula,Karaburma,42.0,2.0 Broj soba,PR,4 Spratnost,Agencija,7,120000.0,2026-04-05 22:49:34
5425646982276,Beograd,Novi Beograd,Blok 65,124.0,4.0 Broj soba,V,30 Spratnost,Agencija,20,675000.0,2026-04-05 22:49:34
5425646982767,Beograd,Vračar,Beogradska,73.0,3.0 Broj soba,VI,6 Spratnost,Agencija,10,265000.0,2026-04-05 22:49:34
5425644454192,Beograd,Voždovac,Lekino brdo,85.0,3.0 Broj soba,III,4 Spratnost,Agencija,20,269000.0,2026-04-05 22:49:34
5425646858776,Beograd,Čukarica,Žarkovo,58.0,2.5 Broj soba,II,3 Spratnost,Agencija,12,159900.0,2026-04-05 22:49:34
5425646915507,Beograd,Savski venac,Beograd na vodi,55.81,2.0 Broj soba,XVIII,26 Spratnost,Agencija,4,275000.0,2026-04-05 22:49:34
5425646477471,Beograd,Palilula,Karaburma,110.0,4.0 Broj soba,IV,5 Spratnost,Agencija,20,266000.0,2026-04-05 22:49:34
5425646744015,Beograd,Novi Beograd,Blok 4 (Politehnička akademija),55.0,2.0 Broj soba,VIII,20 Spratnost,Agencija,9,213000.0,2026-04-05 22:49:34
5425646474690,Beograd,Novi Beograd,Fontana,79.0,3.5 Broj soba,VPR,4 Spratnost,Agencija,19,240000.0,2026-04-05 22:49:34
5425646952056,Beograd,Čukarica,Banovo brdo,71.0,3.5 Broj soba,VPR,7 Spratnost,Agencija,18,240000.0,2026-04-05 22:49:34
5425646775481,Beograd,Savski venac,Beograd na vodi,51.0,2.0 Broj soba,III,20 Spratnost,Agencija,14,254900.0,2026-04-05 22:49:34
5425646764240,Beograd,Zvezdara,Bulbulder,53.8,2.0 Broj soba,III,4 Spratnost,Agencija,20,210000.0,2026-04-05 22:49:34
5425646910489,Beograd,Palilula,Višnjička Banja,68.0,3.0 Broj soba,I,2 Spratnost,Vlasnik,3,176000.0,2026-04-05 22:49:34
5425646915497,Beograd,Savski venac,Beograd na vodi,123.74,4.0 Broj soba,XII,15 Spratnost,Agencija,20,610000.0,2026-04-05 22:49:34
5425646928644,Beograd,Zvezdara,Cvetkova pijaca,57.0,2.5 Broj soba,III,5 Spratnost,Agencija,12,184900.0,2026-04-05 22:49:34
5425646982466,Beograd,Stari grad,Dorćol,37.0,1.0 Broj soba,III Spratnost,,Agencija,11,156000.0,2026-04-05 22:49:34
5425646881572,Beograd,Zvezdara,Veliki Mokri Lug,48.0,2.5 Broj soba,III,3 Spratnost,Agencija,20,120000.0,2026-04-05 22:49:34
5425646980469,Beograd,Zvezdara,Mali Mokri Lug,82.0,3.0 Broj soba,VI,6 Spratnost,Agencija,12,243200.0,2026-04-05 22:49:34
5425646981654,Beograd,Zvezdara,Mali Mokri Lug,39.0,1.5 Broj soba,I,6 Spratnost,Agencija,7,125127.0,2026-04-05 22:49:34
5425646980465,Beograd,Zvezdara,Mali Mokri Lug,29.0,1.0 Broj soba,I,6 Spratnost,Agencija,7,95139.0,2026-04-05 22:49:34
5425646916299,Beograd,Zvezdara,Đeram pijaca,64.0,2.5 Broj soba,VII,7 Spratnost,Agencija,17,299900.0,2026-04-05 22:49:34
5425646260716,Beograd,Zvezdara,Đeram pijaca,40.06,1.5 Broj soba,I,5 Spratnost,Agencija,3,179900.0,2026-04-05 22:49:34
5425646913815,Beograd,Vračar,Neimar,59.0,2.0 Broj soba,IV,4 Spratnost,Agencija,18,229000.0,2026-04-05 22:49:34
5425645742008,Beograd,Vračar,Centar,95.0,3.0 Broj soba,I,4 Spratnost,Agencija,19,530000.0,2026-04-05 22:49:34
5425646778243,Beograd,Vračar,Crveni krst,38.0,1.5 Broj soba,III,3 Spratnost,Agencija,19,145000.0,2026-04-05 22:49:34
5425646982536,Beograd,Zemun,Kej,80.0,2.5 Broj soba,V,19 Spratnost,Agencija,17,279000.0,2026-04-05 22:49:34
5425646821597,Beograd,Savski venac,Zeleni venac,50.0,2.0 Broj soba,V,7 Spratnost,Agencija,8,238000.0,2026-04-05 22:49:34
5425646982531,Beograd,Zemun,Meandri,68.0,2.0 Broj soba,V,6 Spratnost,Agencija,13,199900.0,2026-04-05 22:49:34
5425646394725,Beograd,Palilula,Hala Pionir,51.0,2.0 Broj soba,III,8 Spratnost,Agencija,15,185000.0,2026-04-05 22:49:34
5425646775460,Beograd,Novi Beograd,Blok 70a,66.0,2.0 Broj soba,VI,8 Spratnost,Agencija,7,238000.0,2026-04-05 22:49:34
5425646403035,Beograd,Savski venac,Centar,36.0,1.0 Broj soba,III,8 Spratnost,Agencija,5,164000.0,2026-04-05 22:49:34
5425646982524,Beograd,Novi Beograd,Blok 45 (TC Enjub),94.0,3.0 Broj soba,I,4 Spratnost,Agencija,17,340000.0,2026-04-05 22:49:34
5425646747937,Beograd,Stari grad,Centar,58.0,3.0 Broj soba,IV,4 Spratnost,Vlasnik,20,296000.0,2026-04-05 22:49:34
5425646885945,Beograd,Palilula,Cvijićeva,70.0,2.5 Broj soba,II,6 Spratnost,Agencija,18,215000.0,2026-04-05 22:49:34
5425645633614,Beograd,Voždovac,Trošarina,70.0,3.5 Broj soba,II,3 Spratnost,Agencija,18,230000.0,2026-04-05 22:49:34
5425646982519,Beograd,Zemun,Save Kovačevića,50.0,2.5 Broj soba,IV,4 Spratnost,Agencija,12,155000.0,2026-04-05 22:49:34
5425646901181,Beograd,Zemun,Meandri,68.0,2.0 Broj soba,V,6 Spratnost,Agencija,12,207000.0,2026-04-05 22:49:34
5425646901167,Beograd,Vračar,Gospodara Vučića,68.0,2.0 Broj soba,I,2 Spratnost,Agencija,11,195000.0,2026-04-05 22:49:34
5425646542235,Beograd,Palilula,Bogoslovija,77.0,3.0 Broj soba,VIII,17 Spratnost,Agencija,11,199900.0,2026-04-05 22:49:34
5425646827073,Beograd,Vračar,Hram svetog Save,70.0,2.5 Broj soba,III,4 Spratnost,Agencija,10,388000.0,2026-04-05 22:49:34
5425646732884,Beograd,Savski venac,Beograd na vodi,113.0,4.0 Broj soba,,,Agencija,17,535000.0,2026-04-05 22:49:34
5425644787532,Beograd,Savski venac,Centar,96.0,3.5 Broj soba,III,3 Spratnost,Agencija,20,239000.0,2026-04-05 22:49:34
5425644705770,Beograd,Zvezdara,Crveni krst,87.0,3.5 Broj soba,IV,8 Spratnost,Agencija,19,389000.0,2026-04-05 22:49:34
5425646057385,Beograd,Zvezdara,Đeram pijaca,53.58,3.0 Broj soba,II,6 Spratnost,Agencija,1,239900.0,2026-04-05 22:49:34
5425646809254,Beograd,Palilula,Karaburma,71.0,3.0 Broj soba,VI,7 Spratnost,Agencija,8,217000.0,2026-04-05 22:49:34
5425646856757,Beograd,Novi Beograd,Fontana,36.0,1.5 Broj soba,I,5 Spratnost,Agencija,6,153500.0,2026-04-05 22:49:34
5425646848183,Beograd,Stari grad,Skadarlija,28.0,2.0 Broj soba,VPR,3 Spratnost,Agencija,12,140000.0,2026-04-05 22:49:34
5425646917904,Beograd,Novi Beograd,Blok 61,64.0,2.5 Broj soba,VI,18 Spratnost,Agencija,12,240000.0,2026-04-05 22:49:34
5425646840990,Beograd,Vračar,Slavija,28.0,1.0 Broj soba,PR,2 Spratnost,Agencija,8,146000.0,2026-04-05 22:49:34
